SKU,Produced_On,Age_Days,OnHand_Pcs,OnHand_MT
50X50X2,2026-05-21,54,656,11.865
50X50X2,2026-06-18,26,960,17.363
50X50X2,2026-06-19,25,512,9.260
50X50X2,2026-06-22,22,695,12.570
50X50X2,2026-07-13,1,1401,25.339
25X25X2,2026-05-29,46,7446,64.530
25X25X2,2026-07-03,11,524,4.541
50X50X2.5,2026-05-20,55,945,21.142
50X50X2.5,2026-05-21,54,1557,34.834
50X50X2.5,2026-06-22,22,294,6.578
75X25X2,2026-04-25,80,2793,50.515
32NBX2.5,2026-06-16,28,800,11.808
32NBX2.5,2026-07-09,5,146,2.155
32NBX2.5,2026-07-10,4,2458,36.280
25X25X1.6,2026-06-01,43,1050,7.406
25X25X1.6,2026-07-03,11,5625,39.677
60X40X2.8,2026-04-22,83,1685,41.955
60X40X2.8,2026-05-07,68,269,6.698
75X25X1.6,2026-05-08,67,2723,39.728
100X50X2.8,2026-07-06,8,669,25.480
100X50X2.8,2026-07-07,7,353,13.445
32NBX2,2026-06-12,32,507,6.062
32NBX2,2026-07-09,5,2697,32.245
40X20X2,2026-06-09,35,69,0.728
40X20X2,2026-07-09,5,3132,33.044
50X25X2.8,2026-05-15,60,1253,22.936
50X25X2.8,2026-05-16,59,279,5.107
50X25X2.8,2026-05-18,57,165,3.020
50X25X2.8,2026-05-20,55,102,1.867
100X50X1.6,2026-05-15,60,7,0.155
100X50X1.6,2026-07-11,3,1405,31.087
30X30X1.6,2026-06-06,38,1,0.009
30X30X1.6,2026-07-08,6,3688,31.573
40NBX4,2026-06-23,21,1147,28.102
38X38X1.6,2026-05-25,50,2505,27.486
100X50X2.5,2026-07-06,8,711,24.279
100X50X2.5,2026-07-07,7,141,4.815
40X20X1.6,2026-07-08,6,527,4.512
40X20X1.6,2026-07-09,5,2181,18.671
30X30X2,2026-07-06,8,938,9.896
30X30X2,2026-07-08,6,1468,15.488
75X25X2.8,2026-04-23,82,739,18.400
75X25X2.8,2026-04-25,80,160,3.984
75X25X2.8,2026-04-27,78,110,2.739
25X25X2.8,2026-07-03,11,1652,19.346
32NBX1.6,2026-07-09,5,229,2.212
32NBX1.6,2026-07-10,4,1918,18.527
32NBX1.6,2026-07-11,3,164,1.584
50X50X4,2026-06-20,24,304,10.538
50X50X4,2026-06-21,23,360,12.480
80X40X2.8,2026-05-02,73,70,2.112
80X40X2.8,2026-05-04,71,211,6.367
80X40X2.8,2026-06-27,17,762,22.993
30X30X2.5,2026-06-06,38,105,1.360
30X30X2.5,2026-07-06,8,1611,20.866
40NBX2.5,2026-06-20,24,1321,22.381
60X60X2.8,2026-06-29,15,251,7.574
80X40X4,2026-06-27,17,141,5.950
80X40X4,2026-06-28,16,304,12.829
80NBX1.6,2026-07-08,6,900,18.450
50NBX2.8,2026-06-23,21,2,0.048
50NBX2.8,2026-06-25,19,790,18.820
40NBX2.8,2026-06-22,22,984,18.550
25X25X2.5,2026-06-03,41,237,2.512
25X25X2.5,2026-07-02,12,757,8.022
25X25X2.5,2026-07-03,11,1017,10.778
20NBX2.8,2026-06-15,29,1647,16.445
65NBX2.5,2026-06-28,16,425,11.571
25NBX2.8,2026-07-02,12,666,8.526
50X50X1.6,2026-07-13,1,957,13.962
40NBX2,2026-06-20,24,981,13.442
60X40X1.6,2026-06-18,26,977,14.254
50X50X2.8,2026-06-19,25,1084,26.990
50NBX2.5,2026-06-24,20,650,13.898
65NBX2.8,2026-06-28,16,420,12.755
65NBX2,2026-06-28,16,488,10.701
100X50X3.2,2026-05-16,59,234,10.129
75X25X2.5,2026-04-27,78,415,9.285
38X38X2.2,2026-04-01,104,457,6.781
65NBX4,2026-06-27,17,7,0.302
65NBX4,2026-06-28,16,288,12.427
40X20X2.8,2026-06-06,38,297,4.262
40X20X2.8,2026-06-09,35,211,3.028
40X20X2.5,2026-06-10,34,319,4.132
75X75X2.5,2026-06-30,14,135,4.658
40X20X3,2026-06-10,34,248,3.785
32NBX2.8,2026-06-13,31,366,6.005
32NBX2.8,2026-07-09,5,127,2.084
25X25X3.2,2026-07-03,11,248,3.063
40X20X2.2,2026-06-10,34,215,2.477
50X50X2.2,2026-04-01,104,100,1.981
38X38X4,,,0,0
50NBX4,,,0,0
